BatchNumber,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41
1650,5.000497,20.23508,28.34144,,4.999668,5.049625,22.68251,28.1,35.8,39.4,20.3,920.4863,2062.312,2123.265,1092.346,21.69105,25.01674,30.98333,35.30513,32.30636,140.8442,130.2472,5.00024,60.85896,24.10826,31.7501,5.087479,27.17569,7.484899,54.97962,5.00024,60,40,13,4.949066,11,4.959773,4.959773,6017.153,5553.463,6358.949219
1651,4.998839,19.6109,27.90856,,5.000497,5.049625,22.67479,27.8,35.9,39.3,20.3,920.0281,2070.9,2156.379,1092.346,21.69105,25.1847,31.1513,35.13716,32.30636,140.7449,130.4152,4.999502,60.85896,24.93763,31.70027,5.091131,26.53211,7.500858,54.96657,4.999502,60,40,13,4.942607,11,4.965171,4.960672,6017.153,5553.463,6350.713867
1652,4.998839,20.5869,28.06907,,5.000497,5.049625,22.67781,27.6,36.1,39.4,20.3,927.4263,2059.418,2103.829,1092.346,21.52309,25.01674,31.1513,35.30513,32.30636,140.4473,130.2472,4.999502,60.85896,24.76711,31.7699,5.098435,26.63957,7.500858,54.94177,4.999502,60,40,13,4.940763,11,4.960672,4.961572,6008.917,5553.463,6342.477539
1653,5.001327,19.51362,28.55058,,4.99801,5.049625,22.67798,27.6,36.2,39.5,20.4,927.4263,2075.776,2189.343,1058.907,21.52309,25.01674,30.98333,35.13716,32.30636,140.9434,130.4152,5.000978,60.35506,24.79037,32.05859,5.094783,26.92174,7.520009,54.94177,5.000978,60,40,13,4.941685,11,4.960672,4.961572,6008.917,5561.699,6334.241211
1654,4.999668,19.1618,26.99578,,5.000497,5.049625,22.67361,27.6,36,39.5,20.3,919.7226,2088.62,2094.379,1092.346,21.69105,24.84877,30.98333,35.13716,32.30636,140.7449,130.7343,5.00024,61.17809,24.41473,31.28346,5.092348,26.94361,7.497666,54.97962,5.00024,60,40,13,4.947221,11,4.957074,4.957074,6008.917,5545.227,6326.004883
1655,4.997181,19.56226,27.60538,,4.999668,5.050548,22.6931,27.8,35.9,39.6,20.3,893.8608,2075.259,2109.379,1092.346,21.52309,25.1847,30.98333,35.13716,32.30636,140.9434,130.7343,5.00024,60.85896,24.97496,31.91627,5.102087,26.6768,7.488091,55.00572,5.00024,60,40,13,4.962906,11,4.964271,4.958873,6008.917,5561.699,6317.769531
1656,5.005472,19.01751,27.06063,,4.998839,5.050548,22.72736,28.2,35.9,39.5,20.3,928.5043,2069.968,2175.568,1092.346,21.85902,25.01674,30.98333,35.13716,32.30636,140.3481,130.7343,5.00024,61.17809,25.16106,31.66863,5.093565,27.42689,7.523201,54.95351,5.00024,60,40,13,4.931536,11,4.96787,4.965171,6008.917,5545.227,6317.769531
1657,5.003814,19.59468,27.57296,,5.000497,5.050548,22.78447,28.5,35.9,39.5,20.4,928.812,2068.005,2142.387,1058.907,21.35513,25.33587,30.98333,35.13716,32.30636,140.7449,130.9023,5.00024,61.34605,24.94918,31.75568,5.089913,27.15676,7.491282,54.97962,5.00024,60,40,13,4.949066,11,4.965171,4.961572,6025.389,5553.463,6309.533203
1658,4.99801,18.3609,27.18871,,5.000497,5.050548,22.78682,28.7,36.1,39.5,20.4,921.4019,2076.909,2170.493,1092.532,21.52309,25.01674,30.98333,34.9692,32.15519,140.6457,130.7343,5.00024,61.01012,24.7249,31.6927,5.094783,26.91559,7.507241,54.94177,5.00024,60,40,13,4.940763,11,4.96787,4.961572,6017.153,5561.699,6367.185547
1659,4.997181,19.49903,27.23573,,4.999668,5.050548,22.78077,28.7,36.1,39.4,20.4,929.1198,2065.773,2188.992,1092.532,21.52309,25.01674,30.98333,35.13716,32.30636,140.7449,131.0702,5.00024,61.34605,24.63546,31.26565,5.094783,27.17687,7.507241,54.95351,5.00024,60,40,13,4.954602,11,4.956174,4.958873,6008.917,5545.227,6367.185547
1660,4.996352,19.88327,29.12613,,4.999668,5.049625,22.79068,28.6,36,39.4,20.4,928.9658,2068.339,2174.873,1092.532,21.35513,25.1847,30.98333,34.80124,32.30636,140.5465,130.5831,4.999502,61.01012,24.81721,31.69225,5.085043,27.53635,7.494474,54.95351,4.999502,60,40,13,4.947221,11,4.96877,4.955275,6017.153,5545.227,6358.949219
1661,5.000497,19.03372,28.19715,,5.000497,5.050548,22.77825,28.4,35.9,39.5,20.5,928.6581,2070.9,2147.176,1059.088,21.52309,25.01674,30.98333,34.80124,32.15519,140.8442,130.9023,4.999502,61.01012,24.35235,32.2156,5.080174,26.98367,7.500858,54.94177,4.999502,60,40,13,4.933381,11,4.961572,4.973268,6008.917,5553.463,6350.713867
1662,4.998839,21.61316,28.83755,,4.999668,5.049625,22.77842,28.1,35.9,39.5,20.4,928.1964,2071.39,2142.387,1092.532,21.52309,25.01674,30.81537,34.9692,32.15519,140.6457,130.9023,4.998764,61.01012,25.35116,32.05654,5.098435,26.83562,7.468939,54.95482,4.998764,60,40,13,4.928768,11,4.965171,4.970569,6000.681,5553.463,6358.949219
1663,5.000497,21.22892,27.06063,,5.000497,5.050548,22.78111,27.8,35.9,39.6,20.4,927.7344,2076.238,2189.692,1058.907,21.52309,25.01674,30.98333,34.80124,32.15519,141.0327,130.7343,5.00024,61.51401,25.37671,32.01058,5.083826,26.86076,7.520009,54.96657,5.00024,60,40,13,4.937072,11,4.956174,4.974167,6017.153,5553.463,6367.185547
1664,5.005472,20.42801,28.1177,,5.000497,5.050548,22.78229,27.7,36,39.6,20.6,919.8754,2071.725,2142.729,1092.904,21.85902,25.01674,30.98333,34.80124,32.15519,140.5465,130.9023,5.00024,61.01012,25.02564,31.37474,5.082609,27.10316,7.50405,54.95482,5.00024,60,40,13,4.944453,11,4.961572,4.966071,6008.917,5545.227,6375.421875
1665,4.999668,19.89948,27.68482,,4.999668,5.050548,22.78514,27.6,36.1,39.5,20.6,902.3677,2070.146,2203.374,1059.268,21.69105,25.01674,30.98333,34.80124,32.30636,140.8442,130.9023,5.000978,61.17809,25.12267,31.90989,5.086261,26.93792,7.497666,54.94177,5.000978,60,40,13,4.937994,11,4.963372,4.964271,6017.153,5561.699,6375.421875
1666,5.004643,19.48281,28.40629,,4.999668,5.050548,22.78531,27.7,36.1,39.4,20.6,927.5804,2071.569,2203.022,1092.904,21.85902,25.01674,30.98333,34.80124,32.15519,140.2488,131.0702,5.000978,61.17809,24.82812,32.48814,5.081391,26.94473,7.491282,55.00572,5.00024,60,40,13,4.926,11,4.963372,4.96877,6017.153,5553.463,6391.070313
1667,5.001327,20.13943,27.58917,,4.999668,5.050548,22.78514,27.9,36,39.4,20.6,894.0092,2089.593,2108.705,1092.904,21.69105,25.1847,30.81537,34.80124,32.15519,140.8442,130.5831,5.000978,61.01012,24.38179,31.89258,5.083826,26.80325,7.497666,54.96657,5.000978,60,40,13,4.931536,11,4.959773,4.96697,6025.389,5561.699,6375.421875
1668,5.002156,20.107,28.86997,,5.000497,5.050548,22.79119,28.3,36,39.4,20.6,928.3503,2097.743,2170.146,1092.904,21.85902,25.33587,30.81537,34.63327,31.98723,140.4473,130.7343,5.00024,60.1871,25.43946,32.14192,5.088696,27.23715,7.497666,54.97962,5.00024,60,40,13,4.953679,11,4.956174,4.965171,6017.153,5553.463,6367.185547
1669,4.99801,20.18645,28.51816,,4.998839,5.050548,22.79287,28.5,35.9,39.5,20.6,894.8991,2074.77,2151.955,1059.268,21.52309,25.01674,30.64741,34.80124,32.15519,140.9434,129.4074,5.000978,61.01012,25.12803,32.71969,5.096,27.096,7.484899,54.95482,5.000978,60,40,13,4.937072,11,4.949877,4.954375,6017.153,5561.699,6375.421875
1670,5.000497,19.28988,27.55674,,4.999668,5.050548,22.78464,28.7,35.9,39.6,20.6,921.4019,2048.021,2137.928,1092.904,21.52309,25.1847,30.81537,34.80124,32.15519,140.7449,129.5754,5.00024,61.01012,25.32646,31.75432,5.091131,27.00113,7.50405,54.95482,5.00024,60,40,13,4.949989,11,4.96787,4.966071,6041.861,5553.463,6391.070313
1671,4.999668,20.87549,28.34144,,4.999668,5.049625,22.78716,28.6,36,39.6,20.6,903.8658,2069.812,2157.069,1059.268,21.52309,25.01674,30.81537,34.63327,31.98723,140.9434,129.2562,4.998764,61.01012,24.93357,32.15677,5.093565,26.9439,7.491282,54.96787,4.998764,60,40,13,4.94353,11,4.96787,4.964271,6025.389,5553.463,6358.949219
1672,4.998839,20.98898,29.65467,,4.998839,5.049625,22.78833,28.5,36.1,39.5,20.7,912.4478,2058.481,2142.387,1059.448,21.52309,25.01674,30.64741,34.63327,31.98723,140.4473,129.9113,5.00024,60.85896,25.39631,31.79242,5.094783,26.8089,7.500858,54.95482,5.00024,60,40,13,4.936149,11,4.952576,4.955275,6025.389,5553.463,6367.185547
1673,4.994694,19.86706,28.79053,,4.999668,5.049625,22.78732,28.2,36.1,39.4,20.7,928.3503,2072.55,2165.883,1059.448,21.52309,24.84877,30.47944,34.63327,31.98723,140.8442,130.7343,5.00024,60.52303,24.88002,32.0956,5.10087,27.15898,7.472131,54.95482,5.00024,60,40,13,4.951834,11,4.959773,4.960672,6017.153,5553.463,6342.477539
1674,5.002985,19.45039,28.53437,,5.000497,5.050548,22.7796,28,36,39.3,20.7,920.3336,2079.457,2174.525,1070.779,21.69105,24.68081,30.47944,34.80124,31.98723,140.2488,129.4074,4.998764,60.1871,25.45366,31.5838,5.087479,26.89786,7.507241,54.95482,4.998764,60,40,13,4.947221,11,4.977766,4.948078,6017.153,5569.935,6317.769531
1675,4.996352,20.74741,29.28664,,4.99801,5.050548,22.79068,27.8,35.9,39.4,20.7,920.0281,2064.614,2123.265,1059.448,21.85902,24.84877,30.31148,34.80124,31.81926,140.9434,129.5754,5.00024,60.01913,25.31191,32.10943,5.087479,27.20375,7.481707,54.96657,5.00024,60,40,13,4.94353,11,4.965171,4.951676,6017.153,5561.699,6326.004883
1676,5.002156,19.67412,27.52432,,4.998839,5.050548,22.79218,27.6,35.9,39.5,20.7,927.4263,2051.44,2175.22,1059.448,21.35513,24.84877,30.31148,34.63327,31.81926,140.4473,130.4152,5.000978,60.69099,24.79124,31.90379,5.081391,27.21908,7.50405,54.96657,5.00024,60,40,13,4.940763,11,4.957973,4.957074,6008.917,5561.699,6342.477539
1677,5.000497,19.81842,26.75584,,5.000497,5.049625,22.7952,27.6,36,39.7,20.8,944.3207,2071.234,2171.187,1059.628,21.85902,24.51284,30.47944,34.48211,31.98723,140.7449,130.2472,5.001717,61.17809,25.01604,32.085,5.097218,26.60216,7.488091,54.95351,5.001717,60,40,13,4.946298,11,4.96697,4.960672,6017.153,5553.463,6326.004883
1678,4.99801,19.3061,28.53437,,4.999668,5.049625,22.79251,27.8,36.2,39.7,20.9,920.0281,2076.909,2124.283,1059.808,21.85902,24.84877,30.31148,34.48211,31.81926,140.6457,130.4152,5.00024,61.01012,25.19217,31.66418,5.088696,26.83193,7.50405,54.97962,5.00024,60,40,13,4.930613,11,4.965171,4.965171,6008.917,5553.463,6326.004883
1679,5.002156,20.26751,28.16472,,4.999668,5.050548,22.79314,27.9,36.1,39.6,20.9,894.0092,2059.912,2175.568,1059.808,21.69105,24.68081,30.31148,34.31414,31.81926,140.8442,130.7343,5.001717,61.01012,25.05551,32.58512,5.081391,27.33891,7.497666,54.97962,5.001717,60,40,13,4.933381,11,4.961572,4.954375,6008.917,5561.699,6342.477539
1680,4.996352,21.25973,29.19098,,4.999668,5.050548,22.79347,28.3,36,39.4,21,894.6027,2074.665,2170.146,1059.988,21.52309,25.01674,30.31148,34.31414,31.81926,140.4473,130.7343,5.00024,61.51401,24.53499,32.45517,5.083826,27.15328,7.491282,54.95482,5.00024,60,40,13,4.949989,11,4.963372,4.974167,6033.625,5553.463,6326.004883
1681,4.998839,20.52367,28.18093,,5.000497,5.050548,22.79856,28.6,35.9,39.3,21.1,895.0473,2061.217,2169.799,1060.168,21.69105,25.01674,30.31148,34.31414,31.98723,141.0327,130.0793,5.00024,61.01012,24.92108,31.755,5.093565,26.67794,7.520009,54.94177,5.00024,60,40,13,4.928768,11,4.953475,4.978665,6017.153,5553.463,6326.004883
1682,4.99801,19.9465,27.15629,,4.999668,5.050548,22.7989,28.7,35.9,39.3,21,929.1198,2082.537,2122.925,1059.988,21.85902,24.84877,30.31148,34.48211,31.98723,140.5465,130.5831,4.999502,60.52303,24.82836,31.84215,5.092348,27.05374,7.526392,54.95482,4.999502,60,40,13,4.926923,11,4.960672,4.966071,6008.917,5553.463,6342.477539
1683,5.001327,19.49903,28.46952,,4.999668,5.050548,22.79283,28.7,36,39.5,21.1,921.4019,2046.865,2166.229,1060.168,21.52309,24.84877,30.31148,34.48211,31.81926,140.7449,129.5754,5.001717,61.34605,25.25816,31.79484,5.092348,26.70583,7.497666,54.95482,5.002455,60,40,13,4.946298,11,4.959773,4.966071,6017.153,5561.699,6375.421875
1684,5.002156,18.98508,28.70947,,4.998839,5.049625,22.79668,28.5,36,39.7,21.1,928.9658,2075.105,2143.072,1060.168,21.52309,25.01674,30.47944,34.48211,31.81926,140.3481,130.4152,5.000978,61.17809,25.0741,32.08234,5.104522,26.6623,7.507241,54.94177,5.000978,60,40,13,4.937994,11,4.954375,4.959773,6017.153,5561.699,6350.713867
1685,5.000497,21.30836,28.45331,,4.99801,5.050548,22.79858,28.2,36.1,39.7,21.1,894.4543,2068.673,2157.413,1060.168,21.52309,24.84877,30.47944,34.48211,31.98723,140.9434,130.7343,5.00024,60.85896,24.66359,32.35381,5.093565,27.24495,7.488091,54.94177,5.00024,60,40,13,4.933381,11,4.958873,4.957074,6008.917,5561.699,6415.77832
1686,5.002985,19.25746,27.60538,,5.000497,5.049625,22.79419,27.9,36,39.5,21.1,920.1808,2066.423,2123.604,1060.168,21.35513,24.51284,30.16031,34.31414,31.6513,140.3481,130.4152,4.999502,61.34605,24.46898,31.90936,5.105739,27.03016,7.488091,54.94177,4.999502,60,40,13,4.941685,11,4.961572,4.954375,6017.153,5545.227,6391.070313
1687,5.002156,19.4666,27.28437,,5.000497,5.050548,22.79349,27.7,35.9,39.4,21.2,952.8137,2105.522,2207.213,1060.348,21.35513,24.51284,30.16031,34.31414,31.81926,140.8442,130.4152,5.00024,61.01012,24.67712,32.09746,5.096,26.79998,7.513625,54.94177,5.00024,60,40,13,4.936149,11,4.957074,4.970569,6017.153,5561.699,6391.070313
1688,4.993865,19.45039,27.33301,,4.999668,5.050548,22.7996,27.5,35.9,39.3,21.2,893.4154,2074.77,2188.642,1060.348,21.35513,24.51284,30.16031,34.14618,31.48333,140.5465,130.5831,5.003193,60.85896,25.29681,32.25363,5.088696,27.01816,7.507241,54.95482,5.003193,60,40,13,4.953679,11,4.974167,4.966071,6017.153,5553.463,6399.306641
1689,5.000497,19.57847,27.30058,,4.999668,5.050548,22.8084,27.6,36,39.4,21.2,911.0864,2066.865,2123.265,1060.348,21.35513,24.51284,30.16031,34.14618,31.48333,140.7449,130.4152,5.000978,61.01012,25.20597,31.95205,5.096,26.72707,7.516817,54.96657,5.000978,60,40,13,4.93984,11,4.974167,4.986763,6017.153,5553.463,6399.306641
1690,5.000497,20.74741,27.38003,,4.999668,5.050548,22.81524,27.7,36.1,39.6,21.2,857.5878,2063.805,2142.729,1060.348,21.52309,24.68081,30.16031,34.14618,31.48333,140.5465,130.5831,5.00024,61.17809,24.80477,32.2147,5.080174,27.2914,7.497666,54.95482,5.00024,60,40,13,4.942607,11,4.971468,4.969669,6025.389,5561.699,6375.421875
1691,5.001327,20.15564,27.73346,,4.998839,5.049625,22.81695,28.1,36.1,39.7,21.3,894.306,2091.826,2171.187,1049.063,21.52309,24.68081,29.99235,34.14618,31.6513,140.8442,129.9113,5.000978,60.69099,24.48101,31.68025,5.093565,26.75389,7.488091,54.95482,5.000978,60,40,13,4.938917,11,4.956174,4.972368,6025.389,5553.463,6407.541992
1692,5.002156,19.28988,27.58917,,4.999668,5.049625,22.81346,28.4,36.1,39.7,21.4,903.5665,2070.146,2157.413,1060.708,21.35513,24.68081,30.16031,34.31414,31.81926,140.5465,129.9113,5.001717,61.01012,24.88374,32.54943,5.091131,26.78842,7.500858,54.94177,5.001717,60,40,13,4.942607,11,4.96697,4.963372,6025.389,5553.463,6407.541992
1693,5.003814,20.05836,27.60538,,5.000497,5.050548,22.81647,28.7,36,39.6,21.4,904.0154,2066.423,2180.287,1060.708,21.52309,24.68081,29.99235,34.14618,31.6513,140.9434,129.7433,5.001717,61.01012,24.59921,31.90647,5.086261,26.81594,7.497666,54.95482,5.001717,60,40,13,4.937994,11,4.971468,4.96877,6025.389,5553.463,6375.421875
1694,4.996352,20.63554,28.1177,,4.999668,5.050548,22.81304,28.8,35.9,39.4,21.4,929.2735,2076.238,2188.992,1060.708,21.52309,24.84877,29.99235,34.14618,31.48333,140.3481,129.7433,5.00024,61.51401,25.64311,32.68775,5.097218,26.72816,7.510433,54.94177,5.00024,60,40,13,4.949066,11,4.963372,4.962472,6008.917,5561.699,6358.949219
1695,4.99801,20.95655,27.98962,,4.998839,5.050548,22.81862,28.7,35.9,39.3,21.5,921.4019,2079.61,2136.903,1015.425,21.69105,24.51284,29.99235,33.97821,31.48333,140.7449,129.5754,5.001717,61.51401,24.90556,31.34326,5.086261,27.41442,7.50405,54.95482,5.001717,60,40,13,4.928768,11,4.956174,4.954375,6017.153,5561.699,6382.833984
1696,5.006301,19.85084,27.06063,,4.999668,5.050548,22.82235,28.5,35.9,39.3,21.4,894.8991,2064.614,2108.368,1060.708,21.52309,24.68081,29.82439,33.97821,31.48333,140.6457,129.7433,5.000978,61.51401,25.48324,32.15857,5.085043,26.74103,7.494474,54.95482,5.000978,60,40,13,4.930613,11,4.977766,4.976866,6008.917,5569.935,6342.477539
1697,4.996352,21.22892,27.26816,,5.000497,5.049625,22.82117,28.3,36,39.5,21.5,903.4166,2073.195,2123.604,1060.888,21.35513,24.68081,29.99235,33.97821,31.6513,140.6457,130.0793,5.000978,61.51401,24.71428,32.41193,5.096,26.86574,7.488091,54.94177,5.000978,60,40,13,4.94353,11,4.963372,4.961572,6017.153,5569.935,6342.477539
1698,5.000497,19.7714,29.2072,,4.998839,5.050548,22.82413,28,36.1,39.7,21.5,894.1577,2065.281,2124.283,1060.888,21.35513,24.68081,29.99235,34.14618,31.6513,140.6457,130.0793,5.000978,60.69099,23.93739,32.32336,5.094783,27.00609,7.488091,54.95351,5.000978,60,40,13,4.942607,11,4.958873,4.952576,6017.153,5561.699,6342.477539
1699,4.997181,19.73898,27.73346,,4.999668,5.050548,22.82087,27.7,36,39.6,21.4,893.7124,2080.434,2152.299,1060.708,21.52309,24.51284,29.99235,34.31414,31.6513,140.8442,129.9113,4.997288,61.17809,26.48524,32.01453,5.086261,26.86596,7.488091,54.96657,4.998026,60,40,13,4.94353,11,4.960672,4.96877,6017.153,5553.463,6334.241211
1700,4.997181,20.47503,27.47568,,4.999668,5.050548,22.82542,27.6,36,39.6,21.5,893.564,2066.423,2170.84,1060.888,21.52309,24.51284,29.99235,34.14618,31.48333,140.6457,130.5831,5.001717,60.69099,24.53149,32.34644,5.092348,27.10381,7.488091,54.96657,5.001717,60,40,13,4.941685,11,4.960672,4.955275,6008.917,5569.935,6342.477539
1701,5.001327,19.22665,28.66245,,4.998839,5.050548,22.83289,27.6,36,39.6,21.6,911.0864,2062.043,2123.944,1061.068,21.35513,24.68081,29.99235,34.14618,31.48333,140.7449,130.5831,5.000978,60.52303,24.98026,33.00496,5.082609,27.11074,7.513625,54.95482,5.000978,60,40,13,4.931536,11,4.957973,4.970569,6008.917,5553.463,6350.713867
1702,5.004643,19.9465,27.79669,,4.999668,5.050548,22.83311,27.8,36,39.5,21.7,927.7344,2063.471,2175.22,979.35,21.35513,24.68081,29.99235,33.97821,31.48333,140.3481,130.4152,5.00024,60.85896,25.02792,32.36377,5.089913,26.94538,7.491282,54.95482,5.00024,60,40,13,4.94353,11,4.946278,4.957074,6017.153,5553.463,6350.713867
1703,4.997181,18.58463,27.74805,,5.000497,5.050548,22.83395,28.1,35.9,39.4,21.7,928.1964,2080.586,2174.873,1061.248,21.52309,24.84877,29.82439,33.97821,31.48333,140.7449,130.4152,4.999502,60.85896,24.89531,31.20744,5.092348,27.13425,7.494474,54.95482,4.999502,60,40,13,4.930613,11,4.962472,4.96787,6008.917,5553.463,6342.477539
1704,4.996352,20.45882,28.72568,,4.998839,5.050548,22.8377,28.4,36,39.4,21.8,920.9443,2061.551,2170.146,1061.428,21.85902,24.84877,29.82439,33.97821,31.48333,140.4473,130.4152,4.999502,60.35506,26.51991,33.00656,5.085043,26.96806,7.500858,54.95482,4.999502,60,40,13,4.925077,11,4.96787,4.955275,6008.917,5553.463,6350.713867
1705,5.003814,20.05836,28.02043,,4.999668,5.049625,22.84573,28.6,36,39.4,21.8,895.0473,2076.573,2170.146,1061.428,21.69105,25.01674,29.99235,33.97821,31.48333,140.9434,130.4152,5.00024,60.1871,25.38104,31.59443,5.086261,26.76741,7.472131,54.95482,5.00024,60,40,13,4.938917,11,4.960672,4.965171,6017.153,5553.463,6375.421875
1706,5.000497,21.10084,27.07523,,5.000497,5.050548,22.85577,28.6,36,39.5,21.8,937.6205,2062.979,2142.387,1015.942,21.85902,24.68081,30.16031,33.97821,31.48333,140.4473,130.7343,5.00024,60.52303,25.00181,32.22285,5.093565,27.14001,7.488091,54.95351,5.00024,60,40,13,4.945375,11,4.962472,4.956174,6008.917,5553.463,6358.949219
1707,4.998839,19.49903,27.70104,,4.999668,5.050548,22.85483,28.5,36.1,39.6,21.8,903.7161,2075,2123.944,1015.942,21.35513,24.84877,29.99235,34.14618,31.6513,140.9434,130.7343,4.998026,60.69099,25.89556,32.2581,5.082609,26.99601,7.497666,54.95482,4.998026,60,40,13,4.95737,11,4.972368,4.96877,6017.153,5553.463,6375.421875
1708,4.999668,19.67412,28.74189,,4.999668,5.050548,22.86933,28.4,36.1,39.6,21.8,920.7916,2099.051,2189.692,1049.952,21.52309,24.68081,29.82439,34.31414,31.48333,140.4473,131.0702,4.999502,60.69099,24.48456,31.52122,5.098435,26.95563,7.500858,54.96657,4.999502,60,40,13,4.924155,11,4.96697,4.971468,6017.153,5561.699,6382.833984
1709,5.000497,20.31615,29.22341,,4.999668,5.050548,22.87614,28.1,36,39.5,21.9,928.1964,2071.725,2157.069,1061.608,21.52309,24.68081,29.99235,33.97821,31.48333,140.6457,131.0702,4.999502,60.69099,25.20683,31.86191,5.091131,27.25371,7.500858,54.96657,5.00024,60,40,13,4.942607,11,4.950777,4.950777,6017.153,5561.699,6375.421875
1710,5.000497,19.54604,28.96563,,5.000497,5.050548,22.87992,27.8,35.9,39.4,21.9,920.0281,2068.005,2174.873,1027.971,21.52309,24.68081,29.82439,33.97821,31.48333,140.6457,131.2382,5.002455,60.52303,24.68151,31.83824,5.094783,27.1712,7.500858,54.95482,5.002455,60,40,13,4.937072,11,4.96877,4.948977,6025.389,5561.699,6367.185547
1711,5.002156,19.3061,27.63619,,4.998839,5.050548,22.88135,27.6,35.9,39.3,21.9,902.3677,2074.77,2169.799,1016.114,21.52309,24.84877,29.82439,33.97821,31.48333,140.7449,131.5741,4.998764,60.85896,25.7809,32.13752,5.082609,26.72391,7.513625,54.95482,4.998764,60,40,13,4.937994,11,4.955275,4.966071,6017.153,5553.463,6375.421875
1712,5.002985,19.45039,28.19715,,5.000497,5.050548,22.89602,27.5,36,39.4,21.8,893.4154,2085.262,2188.992,1027.797,21.35513,24.68081,29.82439,34.14618,31.48333,140.5465,131.0702,5.002455,60.69099,25.55221,31.54921,5.087479,26.72795,7.478515,54.99267,5.002455,60,40,13,4.938917,11,4.972368,4.96787,6017.153,5553.463,6367.185547
1713,5.002985,19.72276,27.66861,,5.000497,5.050548,22.89942,27.7,36.1,39.5,21.9,893.564,2075,2156.724,1039.693,21.35513,24.84877,29.99235,33.81025,31.48333,140.6457,131.2382,5.001717,61.34605,24.08729,31.31953,5.085043,27.29798,7.510433,54.95482,5.001717,60,40,13,4.949989,11,4.965171,4.961572,6017.153,5561.699,6342.477539
1714,5.001327,20.36316,28.27821,,4.998839,5.050548,22.8985,27.9,36.1,39.6,21.9,920.1808,2080.282,2175.568,1027.971,21.52309,24.84877,29.99235,33.97821,31.48333,140.5465,131.2382,4.998764,60.85896,25.83039,32.95564,5.082609,27.4151,7.507241,54.95482,4.998764,60,40,13,4.931536,11,4.954375,4.950777,6008.917,5569.935,6342.477539
1715,4.996352,20.57231,25.63392,,4.998839,5.050548,22.90094,28.2,36.1,39.6,22,928.3503,2049.18,2221.837,1016.286,21.52309,24.84877,29.82439,33.64228,31.48333,140.7449,131.2382,5.00024,60.85896,25.00245,32.36104,5.087479,27.14437,7.494474,54.95482,5.00024,60,40,13,4.933381,9.8,4.957074,4.961572,6017.153,5553.463,6350.713867
1716,5.002156,19.03372,27.94098,,5.000497,5.050548,22.90623,28.6,36,39.6,22.1,928.812,2061.551,2189.692,1016.458,21.35513,25.01674,29.82439,33.81025,31.6513,140.6457,131.4062,4.999502,61.17809,23.11098,32.53722,5.096,26.94409,7.488091,54.95351,4.999502,60,40,13,4.932458,11,4.945378,4.956174,6017.153,5553.463,6317.769531
1717,4.99801,19.99514,28.40629,,4.999668,5.050548,22.92534,28.6,35.9,39.4,22,954.2371,2095.952,2203.022,1061.787,21.52309,25.1847,29.99235,33.97821,31.48333,140.8442,131.0702,5.00024,77.7729,24.43115,0.3486046,5.109392,26.94009,7.507241,54.99267,5.00024,60,40,13,4.997966,9.900001,4.977766,4.973268,6017.153,5561.699,6317.769531
1718,1.999867,19.67412,19.8022,36.75259,1.999867,5.000725,22.76814,59.59999,65.1,69.89999,21,967.3872,2001.585,2100.342,1093.647,19.69228,30.66031,32.98211,24.68982,21.0192,142.3127,134.8998,0.002952607,39.44358,24.51165,27.22049,0.342087,23.88364,0.2330054,65.09041,0.002952607,60,40,13,0.04428694,6,0.6351532,0.7287169,28283.33,26892.26,19730.1875
1719,4.846279,15.52529,22.76589,46.71692,5.049416,5.100371,22.76781,58.9,65.3,69.89999,20.9,966.3696,1984.492,2068.438,1093.461,20.02821,41.27562,40.10376,36.12815,21.18716,142.8981,135.3869,5.002455,61.84994,22.8737,26.6741,5.055826,25.88172,6.495424,64.99905,5.002455,60,40,13,4.926923,11,5.000257,5.000257,28291.57,26892.26,19730.1875
1720,4.852083,32.988,14.82004,35.93547,5.049416,5.100371,22.77192,58.59999,65.39999,69.99999,20.9,947.7064,2007.354,2100.647,1093.461,20.36414,41.44358,38.94481,37.13593,21.18716,142.015,135.2189,5.000978,61.01012,22.93876,26.83242,5.105739,25.33808,6.498615,65.00035,5.000978,60,40,13,4.97121,11,5.002956,5.000257,6090.454,5610.292,19730.1875
1721,4.850424,31.81744,39.37905,41.8142,5.048587,5.100371,22.77031,58.8,65.1,70.1,20.8,938.743,1992.235,2069.041,1093.275,20.19617,42.09864,38.77685,39.62179,21.18716,142.6103,134.7318,4.995811,61.01012,23.05604,27.15335,5.160522,24.35357,6.473081,64.97425,4.995811,60,40,13,4.966596,11,4.998458,5.009254,6090.454,5610.292,6692.509766
1722,4.851254,30.28048,35.53502,34.12451,5.050245,5.100371,22.75941,59.4,64.8,70.2,20.8,948.8478,2008.342,2085.632,1093.275,21.69105,42.26661,40.77562,40.44481,21.18716,142.4119,134.8998,5.00024,61.01012,22.85241,26.7766,5.115479,25.10968,6.511383,64.97425,5.00024,60,40,13,4.97121,11,4.986763,4.984963,6098.69,5602.056,6667.801758
