BatchNumber,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41
15,4.997181,20.01135,29.12613,,5.000497,5.050548,26.96411,28.7,35.8,39.4,22.7,921.4019,2088.917,2108.705,1017.489,23.35389,26.51161,31.31926,34.48211,31.81926,140.6457,129.9113,4.999502,61.34605,24.97468,32.16873,5.083826,26.9975,7.497666,54.94177,5.00024,60,40,13,4.937994,11,4.946278,4.949877,6033.625,5626.764,4970.064453
16,4.997181,19.57847,27.54053,,4.999668,5.050548,26.92931,28.5,35.9,39.5,22.7,928.812,2085.899,2170.493,1029.363,23.52186,26.66278,31.1513,34.48211,31.6513,140.8442,130.0793,5.00024,61.17809,24.89511,32.26517,5.080174,26.73506,7.481707,54.97962,5.00024,60,40,13,4.952757,11,4.947178,4.951676,6050.097,5626.764,4978.300781
17,4.997181,19.21044,28.93482,,4.999668,5.050548,26.91199,28.3,36,39.6,22.7,928.5043,2059.579,2170.84,1029.363,23.35389,26.00772,30.98333,34.31414,31.6513,140.3481,130.0793,5.001717,61.17809,25.67183,31.70272,5.085043,26.63115,7.510433,54.97962,5.001717,60,40,13,4.969364,11,4.961572,4.957973,6041.861,5618.528,4970.064453
18,5.000497,20.31615,27.66861,,5.000497,5.049625,26.88819,28.1,36.1,39.6,22.7,928.3503,2089.931,2170.84,1029.363,23.35389,26.00772,30.98333,34.31414,31.6513,140.7449,130.2472,5.001717,61.51401,24.89076,32.05409,5.085043,27.16168,7.500858,54.92872,5.001717,60,40,13,4.925077,11,4.959773,4.957074,6041.861,5618.528,4993.949219
19,4.999668,20.66796,28.19715,,4.998839,5.050548,26.86616,27.8,36,39.4,22.7,927.7344,2084.288,2123.265,1029.363,23.35389,26.00772,30.98333,34.14618,31.6513,140.7449,129.9113,5.00024,60.85896,24.58289,31.87316,5.085043,27.00411,7.497666,54.92872,5.00024,60,40,13,4.931536,11,4.966071,4.958873,6041.861,5626.764,4993.949219
20,4.99801,20.107,28.82133,,4.999668,5.051471,26.90344,27.7,35.9,39.4,22.7,919.8754,2081.074,2142.044,1017.489,23.18593,26.00772,30.64741,34.14618,31.6513,140.7449,130.0793,5.00024,60.85896,25.05202,32.04024,5.081391,27.08699,7.510433,54.91567,5.00024,60,40,13,4.930613,11,4.957074,4.961572,6033.625,5626.764,5010.420898
21,5.002156,19.19423,25.48962,,4.999668,5.051471,26.88624,27.6,35.8,39.3,22.7,919.7226,2116.579,2156.034,1017.489,23.18593,26.00772,30.81537,34.31414,31.48333,140.6457,130.4152,4.998764,61.17809,24.64097,32.40283,5.071652,27.13938,7.491282,54.90262,4.998764,60,40,13,4.934304,11,4.96787,4.955275,6025.389,5610.292,5002.185547
22,4.99801,19.17801,27.70104,,4.999668,5.050548,26.87341,27.7,35.9,39.4,22.7,919.8754,2089.255,2123.265,1017.489,23.18593,26.00772,30.64741,34.31414,31.6513,140.7449,130.5831,4.999502,61.17809,25.17803,31.76168,5.091131,26.72401,7.491282,54.95352,4.999502,60,40,13,4.935226,11,4.958873,4.964271,6041.861,5626.764,5002.185547
23,5.000497,20.70039,27.87613,,5.000497,5.050548,26.85154,27.9,35.9,39.5,22.6,920.1808,2072.86,2170.493,1029.189,23.35389,26.17568,30.81537,33.97821,31.48333,140.4473,130.7343,5.00024,61.01012,25.09258,31.97808,5.083826,26.89485,7.523201,54.95352,5.00024,60,40,13,4.938917,11,4.960672,4.961572,6033.625,5618.528,5010.420898
24,4.999668,20.28372,27.73346,,5.000497,5.050548,26.83861,28.2,36.1,39.7,22.7,894.4543,2081.747,2123.944,1029.363,23.52186,26.34365,30.81537,34.14618,31.6513,140.7449,130.7343,5.000978,60.69099,24.92368,31.71227,5.083826,26.94671,7.510433,54.92741,5.000978,60,40,13,4.949066,11,4.954375,4.957074,6033.625,5626.764,5010.420898
25,4.998839,19.62711,28.00584,,5.000497,5.050548,26.8324,28.5,36.1,39.6,22.7,894.8991,2095.223,2142.729,1017.489,23.18593,26.34365,30.81537,33.97821,31.48333,140.5465,130.5831,5.00024,61.17809,24.87372,31.52368,5.077739,27.3153,7.497666,54.88956,5.00024,60,40,13,4.940763,11,4.955275,4.949877,6033.625,5618.528,5002.185547
26,4.99801,19.03372,29.63846,,4.999668,5.050548,26.83105,28.7,36.1,39.5,22.7,921.4019,2102.872,2189.343,1017.489,23.18593,26.17568,30.81537,33.97821,31.6513,140.5465,131.0702,5.002455,61.01012,25.27458,31.74144,5.078957,27.39107,7.500858,54.90262,5.002455,60,40,13,4.942607,11,4.952576,4.955275,6050.097,5618.528,5018.657227
